zip_code,state_code,state_name,city,time_zone
E2P,NB,New Brunswick,Saint John,
E2R,NB,New Brunswick,Saint John,
E2S,NB,New Brunswick,Saint John,
E2V,NB,New Brunswick,Oromocto,
E3A,NB,New Brunswick,Fredericton,
E3B,NB,New Brunswick,Fredericton,
E3C,NB,New Brunswick,Fredericton,
E3E,NB,New Brunswick,Kingsclear,
E3G,NB,New Brunswick,Fredericton,
E3L,NB,New Brunswick,St. Stephen,
E3N,NB,New Brunswick,Campbellton,
E3V,NB,New Brunswick,Edmundston,
E3Y,NB,New Brunswick,Grand Falls,
E3Z,NB,New Brunswick,Grand Falls,
E4A,NB,New Brunswick,Bathurst,
E4B,NB,New Brunswick,Minto,
E4C,NB,New Brunswick,Youngs Cove,
E4E,NB,New Brunswick,Sussex,
E4G,NB,New Brunswick,Smiths Creek,
E4H,NB,New Brunswick,Hillsborough,
E4J,NB,New Brunswick,Salisbury,
E4K,NB,New Brunswick,Dorchester,
E4L,NB,New Brunswick,Sackville,
E4M,NB,New Brunswick,Bayfield,
E4N,NB,New Brunswick,Cap-Pelé,
E4P,NB,New Brunswick,Shediac,
E4R,NB,New Brunswick,Cocagne,
E4S,NB,New Brunswick,Bouctouche,
E4T,NB,New Brunswick,Bass River,
E4V,NB,New Brunswick,Saint-Antoine,
E4W,NB,New Brunswick,Richibucto,
E4X,NB,New Brunswick,St-Louis-de-Kent,
E4Y,NB,New Brunswick,Rogersville,
E4Z,NB,New Brunswick,Petitcodiac,
E5A,NB,New Brunswick,Moores Mills,
E5B,NB,New Brunswick,St. Andrews,
E5C,NB,New Brunswick,St. George,
E5E,NB,New Brunswick,Campobello Island,
E5G,NB,New Brunswick,Grand,
E5H,NB,New Brunswick,Pennfield,
E5J,NB,New Brunswick,Lepreau,
E5K,NB,New Brunswick,Grand,
E5L,NB,New Brunswick,Fredericton Junction,
E5M,NB,New Brunswick,Gagetown,
E5N,NB,New Brunswick,Hampton,
E5P,NB,New Brunswick,Apohaqui,
E5R,NB,New Brunswick,St. Martins,
E5S,NB,New Brunswick,Kingston,
E5T,NB,New Brunswick,Norton,
E5V,NB,New Brunswick,Deer Island,
E6A,NB,New Brunswick,Boiestown,
E6B,NB,New Brunswick,Stanley,
E6C,NB,New Brunswick,Durham Bridge,
E6E,NB,New Brunswick,Millville,
E6G,NB,New Brunswick,Nackawic,
E6H,NB,New Brunswick,Canterbury,
E6J,NB,New Brunswick,McAdam,
E6K,NB,New Brunswick,Harvey,
E6L,NB,New Brunswick,Burtts Corner,
E7A,NB,New Brunswick,Baker Brook,
E7B,NB,New Brunswick,Saint-Jacques,
E7C,NB,New Brunswick,Saint-Basile,
E7E,NB,New Brunswick,Saint-Leonard,
E7G,NB,New Brunswick,Plaster Rock,
E7H,NB,New Brunswick,Perth-Andover,
E7J,NB,New Brunswick,Bath,
E7K,NB,New Brunswick,Centreville,
E7L,NB,New Brunswick,Florenceville,
E7M,NB,New Brunswick,Woodstock,
E7N,NB,New Brunswick,Debec,
E7P,NB,New Brunswick,Hartland,
